Name,Link,Short Description,Programming Language,List of tags
practice,https://github.com/github/practice,No short description given,Not given,No tags provided
docker-awscli,https://github.com/github/docker-awscli,Another aws cli for hacking,Shell,No tags provided
graphql-batch,https://github.com/github/graphql-batch,A query batching executor for the graphql gem,Ruby,No tags provided
babel-plugin-transform-custom-element-classes,https://github.com/github/babel-plugin-transform-custom-element-classes,Compile ES6 HTMLElement class extensions to ES5,JavaScript,No tags provided
template,https://github.com/github/template,Minimal polyfill for <template>,HTML,No tags provided
plax,https://github.com/github/plax,JQuery powered parallaxing,JavaScript,No tags provided
refined-github,https://github.com/github/refined-github,Browser extension that simplifies the GitHub interface and adds useful features,JavaScript,No tags provided
objective-c-style-guide,https://github.com/github/objective-c-style-guide,**Archived** Style guide & coding conventions for Objective-C projects,Not given,No tags provided
swift-style-guide,https://github.com/github/swift-style-guide,**Archived** Style guide & coding conventions for Swift projects,Not given,No tags provided
fake_braintree,https://github.com/github/fake_braintree,A Braintree so fake that you can avoid hitting Braintree servers in tests.,Ruby,No tags provided
developer.github.com,https://github.com/github/developer.github.com,GitHub Developer site,Ruby,No tags provided
octofacts,https://github.com/github/octofacts,Automate creation and maintenance of complete fact sets for rspec-puppet tests,Ruby,"puppet, rspec-puppet"
snakebite,https://github.com/github/snakebite,A pure python HDFS client,Python,No tags provided
puppetlabs-apt,https://github.com/github/puppetlabs-apt,Puppet module to help manage Apt,Ruby,No tags provided
sqoop,https://github.com/github/sqoop,Mirror of Apache Sqoop,Java,No tags provided
pages-cucumber-fixture,https://github.com/github/pages-cucumber-fixture,Some fixtures for pages tests,Not given,No tags provided
restricted-input,https://github.com/github/restricted-input,Restrict <input>s to certain valid characters (e.g. formatting phone or card numbers),JavaScript,No tags provided
browser-detection,https://github.com/github/browser-detection,A utility for detecting browsers in Braintree libs.,JavaScript,No tags provided
game-off-2016,https://github.com/github/game-off-2016,GitHub's month-long game jam 🎮 November 2016,Not given,No tags provided
albino,https://github.com/github/albino,Ruby wrapper for the Pygments syntax highlighter.,Ruby,No tags provided
debug-repo,https://github.com/github/debug-repo,This is a debug repo for github-debug.com,JavaScript,No tags provided
hubot-scripts,https://github.com/github/hubot-scripts,"DEPRECATED, see https://github.com/github/hubot-scripts/issues/1113 for details - optional scripts for hubot, opt in via hubot-scripts.json",CoffeeScript,"coffeescript, hubot-script"
serialized_attributes,https://github.com/github/serialized_attributes,UNMAINTAINED - kind of a bridge between using AR and a full blown schema-free db,Ruby,No tags provided
octokit.py,https://github.com/github/octokit.py,GitHub API client for Python,Python,No tags provided
github-ldap,https://github.com/github/github-ldap,LDAP client for humans. Part of GitHub Enterprise.,Ruby,No tags provided
aws-s3,https://github.com/github/aws-s3,Fork of AWS-S3 with some custom patches. Removes const_missing hacks like the jaf-s3 gem.,Ruby,No tags provided
etcd-operator,https://github.com/github/etcd-operator,etcd operator creates/configures/manages etcd clusters atop Kubernetes,Go,No tags provided
maven-plugins,https://github.com/github/maven-plugins,Official GitHub Maven Plugins,Java,No tags provided
fog-aws,https://github.com/github/fog-aws,Module for the 'fog' gem to support Amazon Web Services http://aws.amazon.com/,Ruby,No tags provided
develop.github.com,https://github.com/github/develop.github.com,Outdated documentation for GitHub API v2. See http://developer.github.com/ for the current API.,CSS,No tags provided
node-slack-sdk,https://github.com/github/node-slack-sdk,Slack Developer Kit for Node.js,CoffeeScript,No tags provided
puppet-ca_cert,https://github.com/github/puppet-ca_cert,A puppet module for managing (non-system) CA certificates.,Ruby,No tags provided
sparkles-legacy,https://github.com/github/sparkles-legacy,A Go backend for giving each other ✨ in Slack,Go,No tags provided
puppet-aptly,https://github.com/github/puppet-aptly,Puppet module for aptly,Ruby,No tags provided
puppet-orchestrator-for-mysql,https://github.com/github/puppet-orchestrator-for-mysql,Puppet Module used with Orchestrator,Puppet,No tags provided
rbenv-autohash,https://github.com/github/rbenv-autohash,Rubygems plugin to automatically run `rbenv rehash`.,Ruby,No tags provided
puppet-sysfs,https://github.com/github/puppet-sysfs,Module to manage sysfs settings,Puppet,No tags provided
go-mysql,https://github.com/github/go-mysql,a powerful mysql toolset with Go,Go,No tags provided
elasticsearch-srv-discovery,https://github.com/github/elasticsearch-srv-discovery,Elasticsearch discovery with SRV records,Java,No tags provided
codemirror-contrib,https://github.com/github/codemirror-contrib,CodeMirror community contributions,JavaScript,No tags provided
task_list,https://github.com/github/task_list,GitHub flavor Markdown Task List feature components,CoffeeScript,No tags provided
game-off-2012,https://github.com/github/game-off-2012,The GitHub Game Off 2012 is a game jam / hackathon / coding challenge to create an open source a web-based game,Not given,No tags provided
cas-overlay,https://github.com/github/cas-overlay,Maven overlay for local CAS development and testing,Shell,No tags provided
go-opstocat,https://github.com/github/go-opstocat,DEPRECATED,Go,No tags provided
puppet-vault,https://github.com/github/puppet-vault,💾 📦 puppet-module to install Hashicorp's Vault.,Ruby,No tags provided
mysql-haproxy-xinetd,https://github.com/github/mysql-haproxy-xinetd,"Context aware MySQL Replica pools via HAProxy, sample configs & scripts",Shell,No tags provided
captain-hook,https://github.com/github/captain-hook,slack bot that provides subscription service for npm webhooks,JavaScript,No tags provided
roskomnadzor,https://github.com/github/roskomnadzor,deprecated archive — moved to https://github.com/github/gov-takedowns/tree/master/Russia,Not given,No tags provided
ohnogit,https://github.com/github/ohnogit,For when you have to use git in nodejs.,TypeScript,No tags provided
maturity-model,https://github.com/github/maturity-model,A maturity model for adopting open source,Not given,No tags provided
mime-types,https://github.com/github/mime-types,Ruby MIME::Types implementation,Ruby,No tags provided
